id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country
326,George Hoyt,Whipple,08/28/1878,2/1/1976,USA,US,"Ashland, NH",USA,US,"Rochester, NY",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",University of Rochester,"Rochester, NY",USA
764,Paul C.,Lauterbur,5/6/1929,3/27/2007,USA,US,"Sidney, OH",USA,US,"Urbana, IL",male,2003,medicine,,2,"""for their discoveries concerning magnetic resonance imaging""",University of Illinois,"Urbana, IL",USA
410,D. Carleton,Gajdusek,9/9/1923,12/12/2008,USA,US,"Yonkers, NY",Norway,NO,Troms���,male,1976,medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",National Institutes of Health,"Bethesda, MD",USA
409,Baruch S.,Blumberg,7/28/1925,4/5/2011,USA,US,"New York, NY",USA,US,"Moffett Field, CA",male,1976,medicine,,2,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",The Institute for Cancer Research,"Philadelphia, PA",USA
458,Robert F.,Furchgott,6/4/1916,5/19/2009,USA,US,"Charleston, SC",USA,US,"Seattle, WA",male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",SUNY Health Science Center,"Brooklyn, NY",USA
460,Ferid,Murad,9/14/1936,0000-00-00,USA,US,"Whiting, IN",,,,male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of Texas Medical School at Houston,"Houston, TX",USA
459,Louis J.,Ignarro,5/31/1941,0000-00-00,USA,US,"Brooklyn, NY",,,,male,1998,medicine,,3,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",University of California School of Medicine,"Los Angeles, CA",USA
442,Joseph E.,Murray,4/1/1919,11/26/2012,USA,US,"Milford, MA",USA,US,"Boston, MA",male,1990,medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Brigham and Women's Hospital,"Boston, MA",USA
443,E. Donnall,Thomas,3/15/1920,10/20/2012,USA,US,"Mart, TX",USA,US,"Seattle, WA",male,1990,medicine,,2,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",Fred Hutchinson Cancer Research Center,"Seattle, WA",USA
447,Edwin G.,Krebs,6/6/1918,12/21/2009,USA,US,"Lansing, IA",USA,US,"Seattle, WA",male,1992,medicine,,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",USA
446,Edmond H.,Fischer,4/6/1920,0000-00-00,China,CN,Shanghai,,,,male,1992,medicine,,2,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",University of Washington,"Seattle, WA",USA
723,Paul,Greengard,12/11/1925,0000-00-00,USA,US,"New York, NY",,,,male,2000,medicine,,3,"""for their discoveries concerning signal transduction in the nervous system""",Rockefeller University,"New York, NY",USA
724,Eric R.,Kandel,11/7/1929,0000-00-00,Austria,AT,Vienna,,,,male,2000,medicine,,3,"""for their discoveries concerning signal transduction in the nervous system""",Columbia University,"New York, NY",USA
861,Bruce A.,Beutler,12/29/1957,0000-00-00,USA,US,"Chicago, IL",,,,male,2011,medicine,,4,"""for their discoveries concerning the activation of innate immunity""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA
861,Bruce A.,Beutler,12/29/1957,0000-00-00,USA,US,"Chicago, IL",,,,male,2011,medicine,,4,"""for their discoveries concerning the activation of innate immunity""",The Scripps Research Institute,"La Jolla, CA",USA
398,Gerald M.,Edelman,7/1/1929,5/17/2014,USA,US,"New York, NY",USA,US,"La Jolla, CA",male,1972,medicine,,2,"""for their discoveries concerning the chemical structure of antibodies""",Rockefeller University,"New York, NY",USA
452,Edward B.,Lewis,5/19/1918,7/21/2004,USA,US,"Wilkes-Barre, PA",USA,US,"Pasadena, CA",male,1995,medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",California Institute of Technology (Caltech),"Pasadena, CA",USA
454,Eric F.,Wieschaus,6/8/1947,0000-00-00,USA,US,"South Bend, IN",,,,male,1995,medicine,,3,"""for their discoveries concerning the genetic control of early embryonic development""",Princeton University,"Princeton, NJ",USA
396,Julius,Axelrod,5/30/1912,12/29/2004,USA,US,"New York, NY",USA,US,"Rockville, MD",male,1970,medicine,,3,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",National Institutes of Health,"Bethesda, MD",USA
406,David,Baltimore,3/7/1938,0000-00-00,USA,US,"New York, NY",,,,male,1975,medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA
408,Howard Martin,Temin,12/10/1934,2/9/1994,USA,US,"Philadelphia, PA",USA,US,"Madison, WI",male,1975,medicine,,3,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",University of Wisconsin,"Madison, WI",USA
378,Konrad,Bloch,1/21/1912,10/15/2000,Germany (now Poland),PL,Neisse (now Nysa),USA,US,"Burlington, MA",male,1964,medicine,,2,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",Harvard University,"Cambridge, MA",USA
373,James Dewey,Watson,4/6/1928,0000-00-00,USA,US,"Chicago, IL",,,,male,1962,medicine,,3,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",Harvard University,"Cambridge, MA",USA
412,Andrew V.,Schally,11/30/1926,0000-00-00,Poland (now Lithuania),LT,Wilno (now Vilnius),,,,male,1977,medicine,,4,"""for their discoveries concerning the peptide hormone production of the brain""",Veterans Administration Hospital,"New Orleans, LA",USA
411,Roger,Guillemin,1/11/1924,0000-00-00,France,FR,Dijon,,,,male,1977,medicine,,4,"""for their discoveries concerning the peptide hormone production of the brain""",The Salk Institute,"San Diego, CA",USA
387,George,Wald,11/18/1906,4/12/1997,USA,US,"New York, NY",USA,US,"Cambridge, MA",male,1967,medicine,,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Harvard University,"Cambridge, MA",USA
386,Haldan Keffer,Hartline,12/22/1903,3/17/1983,USA,US,"Bloomsburg, PA",USA,US,"Fallston, MD",male,1967,medicine,,3,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",Rockefeller University,"New York, NY",USA
433,Joseph L.,Goldstein,4/18/1940,0000-00-00,USA,US,"Sumter, SC",,,,male,1985,medicine,,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA
432,Michael S.,Brown,4/13/1941,0000-00-00,USA,US,"New York, NY",,,,male,1985,medicine,,2,"""for their discoveries concerning the regulation of cholesterol metabolism""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA
393,Salvador E.,Luria,8/13/1912,2/6/1991,Italy,IT,Torino,USA,US,"Lexington, MA",male,1969,medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA
392,Alfred D.,Hershey,12/4/1908,5/22/1997,USA,US,"Owosso, MI",USA,US,"Syosset, NY",male,1969,medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",Carnegie Institution of Washington,"Long Island, New York, NY",USA
391,Max,Delbr���ck,9/4/1906,3/9/1981,Germany,DE,Berlin,USA,US,"Pasadena, CA",male,1969,medicine,,3,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",California Institute of Technology (Caltech),"Pasadena, CA",USA
455,Peter C.,Doherty,10/15/1940,0000-00-00,Australia,AU,Brisbane,,,,male,1996,medicine,,2,"""for their discoveries concerning the specificity of the cell mediated immune defence""",St. Jude Children's Research Hospital,"Memphis, TN",USA
405,George E.,Palade,11/19/1912,10/7/2008,Romania,RO,Iasi,USA,US,"Del Mar, CA",male,1974,medicine,,3,"""for their discoveries concerning the structural and functional organization of the cell""","Yale University, School of Medicine","New Haven, CT",USA
404,Christian,de Duve,10/2/1917,5/4/2013,United Kingdom,GB,Thames Ditton,Belgium,BE,Nethen,male,1974,medicine,,3,"""for their discoveries concerning the structural and functional organization of the cell""",Rockefeller University,"New York, NY",USA
212,Edwin Mattison,McMillan,9/18/1907,9/7/1991,USA,US,"Redondo Beach, CA",USA,US,"El Cerrito, CA",male,1951,chemistry,,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",USA
213,Glenn Theodore,Seaborg,4/19/1912,2/25/1999,USA,US,"Ishpeming, MI",USA,US,"Lafayette, CA",male,1951,chemistry,,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",USA
434,Stanley,Cohen,11/17/1922,0000-00-00,USA,US,"Brooklyn, NY",,,,male,1986,medicine,,2,"""for their discoveries of growth factors""",Vanderbilt University School of Medicine,"Nashville, TN",USA
439,George H.,Hitchings,4/18/1905,2/27/1998,USA,US,"Hoquiam, WA",USA,US,"Chapel Hill, NC",male,1988,medicine,,3,"""for their discoveries of important principles for drug treatment""",Wellcome Research Laboratories,"Research Triangle Park, NC",USA
735,Leland H.,Hartwell,10/30/1939,0000-00-00,USA,US,"Los Angeles, CA",,,,male,2001,medicine,,3,"""for their discoveries of key regulators of the cell cycle""",Fred Hutchinson Cancer Research Center,"Seattle, WA",USA
